"year","sex","age_group","denominator"
2012,"F","0-9",23814
2012,"F","10-19",21862
2012,"F","20-29",33450
2012,"F","30-39",30195
2012,"F","40-49",29375
2012,"F","50-59",30965
2012,"F","60-69",25994
2012,"F","70-79",23108
2012,"F","80+",15579
2012,"M","0-9",25045
2012,"M","10-19",23048
2012,"M","20-29",36348
2012,"M","30-39",32303
2012,"M","40-49",28946
2012,"M","50-59",26833
2012,"M","60-69",18919
2012,"M","70-79",12690
2012,"M","80+",5352
2013,"F","0-9",24017
2013,"F","10-19",21466
2013,"F","20-29",32615
2013,"F","30-39",30571
2013,"F","40-49",29337
2013,"F","50-59",30890
2013,"F","60-69",26799
2013,"F","70-79",22735
2013,"F","80+",15972
2013,"M","0-9",25329
2013,"M","10-19",22316
2013,"M","20-29",35512
2013,"M","30-39",32755
2013,"M","40-49",29136
2013,"M","50-59",27004
2013,"M","60-69",19542
2013,"M","70-79",12541
2013,"M","80+",5499
2014,"F","0-9",24104
2014,"F","10-19",21169
2014,"F","20-29",31636
2014,"F","30-39",30993
2014,"F","40-49",29359
2014,"F","50-59",30669
2014,"F","60-69",27621
2014,"F","70-79",22474
2014,"F","80+",16222
2014,"M","0-9",25408
2014,"M","10-19",22066
2014,"M","20-29",34434
2014,"M","30-39",33285
2014,"M","40-49",29304
2014,"M","50-59",27067
2014,"M","60-69",20256
2014,"M","70-79",12470
2014,"M","80+",5614
2015,"F","0-9",24152
2015,"F","10-19",21113
2015,"F","20-29",30585
2015,"F","30-39",31367
2015,"F","40-49",29457
2015,"F","50-59",30260
2015,"F","60-69",28514
2015,"F","70-79",22106
2015,"F","80+",16608
2015,"M","0-9",25450
2015,"M","10-19",22061
2015,"M","20-29",33173
2015,"M","30-39",33668
2015,"M","40-49",29708
2015,"M","50-59",27033
2015,"M","60-69",21060
2015,"M","70-79",12207
2015,"M","80+",5810
2016,"F","0-9",24062
2016,"F","10-19",21142
2016,"F","20-29",29457
2016,"F","30-39",31768
2016,"F","40-49",29744
2016,"F","50-59",29826
2016,"F","60-69",28841
2016,"F","70-79",22023
2016,"F","80+",17129
2016,"M","0-9",25419
2016,"M","10-19",22245
2016,"M","20-29",31733
2016,"M","30-39",34101
2016,"M","40-49",30136
2016,"M","50-59",26974
2016,"M","60-69",21508
2016,"M","70-79",12214
2016,"M","80+",6077
2017,"F","0-9",23716
2017,"F","10-19",21484
2017,"F","20-29",28030
2017,"F","30-39",32292
2017,"F","40-49",29964
2017,"F","50-59",29495
2017,"F","60-69",29029
2017,"F","70-79",21919
2017,"F","80+",17811
2017,"M","0-9",25171
2017,"M","10-19",22630
2017,"M","20-29",30033
2017,"M","30-39",34756
2017,"M","40-49",30631
2017,"M","50-59",26857
2017,"M","60-69",21738
2017,"M","70-79",12492
2017,"M","80+",6347
2018,"F","0-9",23438
2018,"F","10-19",22049
2018,"F","20-29",26526
2018,"F","30-39",32795
2018,"F","40-49",29968
2018,"F","50-59",29391
2018,"F","60-69",29035
2018,"F","70-79",22040
2018,"F","80+",18355
2018,"M","0-9",24816
2018,"M","10-19",23258
2018,"M","20-29",28198
2018,"M","30-39",35519
2018,"M","40-49",30813
2018,"M","50-59",26848
2018,"M","60-69",22092
2018,"M","70-79",12748
2018,"M","80+",6586
2019,"F","0-9",23036
2019,"F","10-19",22690
2019,"F","20-29",24996
2019,"F","30-39",33276
2019,"F","40-49",29993
2019,"F","50-59",29110
2019,"F","60-69",29006
2019,"F","70-79",22276
2019,"F","80+",18940
2019,"M","0-9",24589
2019,"M","10-19",23760
2019,"M","20-29",26426
2019,"M","30-39",36125
2019,"M","40-49",31058
2019,"M","50-59",26863
2019,"M","60-69",22319
2019,"M","70-79",13083
2019,"M","80+",6838
2020,"F","0-9",22546
2020,"F","10-19",23142
2020,"F","20-29",23634
2020,"F","30-39",33647
2020,"F","40-49",29871
2020,"F","50-59",29031
2020,"F","60-69",29306
2020,"F","70-79",22498
2020,"F","80+",19314
2020,"M","0-9",24039
2020,"M","10-19",24149
2020,"M","20-29",25103
2020,"M","30-39",36306
2020,"M","40-49",31393
2020,"M","50-59",26941
2020,"M","60-69",22643
2020,"M","70-79",13254
2020,"M","80+",7091
2021,"F","0-9",22236
2021,"F","10-19",23607
2021,"F","20-29",22602
2021,"F","30-39",33542
2021,"F","40-49",29806
2021,"F","50-59",28875
2021,"F","60-69",29400
2021,"F","70-79",22603
2021,"F","80+",19937
2021,"M","0-9",23652
2021,"M","10-19",24622
2021,"M","20-29",23887
2021,"M","30-39",36248
2021,"M","40-49",31422
2021,"M","50-59",27184
2021,"M","60-69",22981
2021,"M","70-79",13400
2021,"M","80+",7466
2022,"F","0-9",21679
2022,"F","10-19",23784
2022,"F","20-29",21817
2022,"F","30-39",33314
2022,"F","40-49",29919
2022,"F","50-59",28809
2022,"F","60-69",29386
2022,"F","70-79",22951
2022,"F","80+",19815
2022,"M","0-9",23022
2022,"M","10-19",25000
2022,"M","20-29",22938
2022,"M","30-39",35927
2022,"M","40-49",31579
2022,"M","50-59",27370
2022,"M","60-69",23195
2022,"M","70-79",13686
2022,"M","80+",7413
2023,"F","0-9",20978
2023,"F","10-19",23990
2023,"F","20-29",21420
2023,"F","30-39",32495
2023,"F","40-49",30293
2023,"F","50-59",28768
2023,"F","60-69",29329
2023,"F","70-79",23650
2023,"F","80+",19486
2023,"M","0-9",22345
2023,"M","10-19",25278
2023,"M","20-29",22210
2023,"M","30-39",35111
2023,"M","40-49",32042
2023,"M","50-59",27558
2023,"M","60-69",23381
2023,"M","70-79",14093
2023,"M","80+",7317
2024,"F","0-9",20100
2024,"F","10-19",24083
2024,"F","20-29",21122
2024,"F","30-39",31522
2024,"F","40-49",30710
2024,"F","50-59",28793
2024,"F","60-69",29173
2024,"F","70-79",24393
2024,"F","80+",19462
2024,"M","0-9",21376
2024,"M","10-19",25368
2024,"M","20-29",21955
2024,"M","30-39",34075
2024,"M","40-49",32525
2024,"M","50-59",27778
2024,"M","60-69",23466
2024,"M","70-79",14681
2024,"M","80+",7267
